hospital_name,hospital_ein,code,code_type,description,setting,billing_class,payer_name,plan_name,rate_type,rate_dollar,rate_percent,contracting_method,last_updated_on,source_file
Luminis Health Anne Arundel Medical Center,,270,RC,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,gross,276.26,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,discounted_cash,270.7348,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,min,254.98798,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.6x102MM SAG SPT DR 20MM WKLE,both,,,,max,270.7348,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653800252,CDM,1.7mm Cable W/Crimp 750mm Strl,both,,,,gross,756.68,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653800252,CDM,1.7mm Cable W/Crimp 750mm Strl,both,,,,discounted_cash,741.5464,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653800252,CDM,1.7mm Cable W/Crimp 750mm Strl,both,,,,min,698.41564,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,PX-H653800252,CDM,1.7mm Cable W/Crimp 750mm Strl,both,,,,max,741.5464,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653800252,LOCAL,1.7mm Cable W/Crimp 750mm Strl,both,,,,gross,756.68,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653800252,LOCAL,1.7mm Cable W/Crimp 750mm Strl,both,,,,discounted_cash,741.5464,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653800252,LOCAL,1.7mm Cable W/Crimp 750mm Strl,both,,,,min,698.41564,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,H653800252,LOCAL,1.7mm Cable W/Crimp 750mm Strl,both,,,,max,741.5464,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
Luminis Health Anne Arundel Medical Center,,270,RC,1.7mm Cable W/Crimp 750mm Strl,both,,,,gross,756.68,,,1/15/2026,1477517225_annearundelmedicalcenter_standardcharges.csv
